First Name,Last Name,Make,Model,Reg Number,Phone Number,Email Address,Colour,Deposit,,,Sale Price,Balance to Finance,Total Amount Payable ,Baloon Payment,Monthly Payment,,Rate,Start Date,Payments Made,Settlement,Length of Agreement,Interest Rebate,Settlement,Valuation,Equity,Revalue in ,Mot mileage ,Mot Mileage 2,Mot Mileage 3,Mileage at start of agreement,Estimated mileage 
Matthew,Davis,Chevrolet,C-Class,TB75ETL,,,red,1000,,,40000,53995,62094.25,18898.25,1199.89,,1.15,6-Feb-22,16,23997.77778,36,4499.583333,38396.44,18500,-19896.44,-17,,,,,
Daniel,Martinez,Honda,Silverado,GQ51OHD,,,red,1000,,,40000,49995,57494.25,17498.25,1111,,1.15,30-Mar-22,14,24442,36,4582.875,37357.38,18500,-18857.38,-17,,,,,
David,Davis,Ford,C-Class,XN81UAQ,,,red,1000,,,40000,52995,60944.25,18548.25,1177.67,,1.15,28-Feb-22,15,24731,36,4637.0625,38642.19,18500,-20142.19,-17,,,,,
Jennifer,Williams,Chevrolet,3 Series,MK24EPH,,,red,1000,,,40000,42995,49444.25,15048.25,955.44,,1.15,25-Jul-22,10,24841.55556,36,4657.791667,35232.01,18500,-16732.01,-18,,,,,
Sarah,Miller,BMW,3 Series,FA87MCZ,,,red,1000,,,40000,52995,60944.25,18548.25,1177.67,,1.15,3-May-22,13,27086.33333,36,5078.6875,40555.9,18500,-22055.9,-19,,,,,
John,Jones,Honda,F-150,LX19HZJ,,,red,1000,,,40000,34995,40244.25,12248.25,777.67,,1.15,26-Mar-23,2,26440.66667,36,4957.625,33731.29,18500,-15231.29,-20,,,,,
David,Jones,Mercedes,Silverado,WP44MUS,,,red,1000,,,40000,40995,47144.25,14348.25,911,,1.15,23-Dec-22,5,28241,36,5295.1875,37294.06,18500,-18794.06,-21,,,,,
Emily,Johnson,Hyundai,C-Class,SO66MUL,,,red,1000,,,40000,53995,62094.25,18898.25,1199.89,,1.15,30-May-22,12,28797.33333,36,5399.5,42296.08,18500,-23796.08,-20,,,,,
Jessica,Williams,BMW,Optima,GJ31ZXX,,,red,1000,,,40000,45995,52894.25,16098.25,1022.11,,1.15,30-Sep-22,8,28619.11111,36,5366.083333,39351.28,18500,-20851.28,-20,,,,,
David,Jones,Hyundai,Camry,EH97NPS,,,red,1000,,,40000,58995,67844.25,20648.25,1311,,1.15,17-Jul-22,11,32775,36,6145.3125,47277.94,18500,-28777.94,-22,,,,,
Emily,Jones,Hyundai,3 Series,TO26BCK,,,red,1000,,,40000,44995,51744.25,15748.25,999.89,,1.15,10-Apr-23,2,33996.22222,36,6374.291667,43370.18,18500,-24870.18,-25,,,,,
Robert,Williams,Ford,Silverado,MX55QMY,,,red,1000,,,40000,54995,63244.25,19248.25,1222.11,,1.15,22-Dec-22,5,37885.44444,36,7103.520833,50030.17,18500,-31530.17,-26,,,,,
Daniel,Davis,Chevrolet,Elantra,XX35APP,,,red,1000,,,40000,55995,64394.25,19598.25,1244.33,,1.15,24-Nov-22,6,37330,36,6999.375,49928.88,18500,-31428.88,-25,,,,,
Daniel,Martinez,Honda,Optima,QN40NTY,,,red,1000,,,40000,40995,,,1138.75,,1.15,9-Aug-20,,,36,,,,,,,,,,
Emily,Jones,Kia,Camry,HQ17IPB,,,red,1000,,,40000,12995,14944.25,4548.25,288.78,,1.15,20-Nov-22,6,8663.333333,36,,,,,,,,,,
Sarah,Garcia,Kia,3 Series,XQ95WTF,,,red,1000,,,40000,14995,17244.25,5248.25,333.22,,1.15,13-Jun-20,36,0,36,0,5248.25,18500,13251.75,,,,,,
Daniel,Johnson,Hyundai,C-Class,LP38IDT,,,red,1000,,,40000,35995,41394.25,12598.25,799.89,,1.15,1-Mar-22,15,16797.66667,36,3149.5625,26246.35,18500,-7746.35,,,,,,
Jennifer,Miller,Honda,Accord,LP71NIK,,,red,1000,,,40000,14995,17244.25,5248.25,333.22,,1.15,28-Jun-22,11,8330.555556,36,1561.979167,12016.83,18500,6483.17,,,,,,
Sarah,Smith,Kia,A4,JF52VQS,,,red,1000,,,40000,21995,25294.25,7698.25,488.78,,1.15,9-Jul-21,23,6354.111111,36,1191.395833,12860.97,18500,5639.03,,,,,,
John,Williams,Mercedes,A4,OK91CLU,,,red,1000,,,40000,38995,44844.25,13648.25,866.56,,1.15,8-Jun-22,12,20797.33333,36,3899.5,30546.08,18500,-12046.08,,,,,,
Robert,Garcia,Chevrolet,Camry,RU88GUJ,,,red,1000,,,40000,60995,70144.25,21348.25,1355.44,,1.15,23-Nov-22,6,40663.33333,36,7624.375,54387.21,18500,-35887.21,,,,,,
Jessica,Martinez,Hyundai,Silverado,YN93HIM,,,red,1000,,,40000,3995,4594.25,1398.25,88.78,,1.15,11-Oct-21,20,1420.444444,36,266.3333333,2552.36,18500,15947.64,,,,,,
Emily,Martinez,Nissan,Accord,KU68VMO,,,red,1000,,,40000,12995,14944.25,4548.25,288.78,,1.15,3-Apr-22,14,6353.111111,36,1191.208333,9710.15,18500,8789.85,,,,,,
Mike,Williams,Hyundai,Accord,YZ27GMS,,,red,1000,,,40000,24995,28744.25,8748.25,555.44,,1.15,10-Mar-23,3,18329.66667,36,3436.8125,23641.1,18500,-5141.1,,,,,,
Mike,Jones,Audi,A4,FM43ANM,,,red,1000,,,40000,8995,10344.25,3148.25,199.89,,1.15,18-Sep-21,20,3198.222222,36,599.6666667,5746.81,18500,12753.19,,,,,,
Daniel,Jones,Hyundai,Optima,WS11AEA,,,red,1000,,,40000,19995,22994.25,6998.25,444.33,,1.15,12-Mar-22,15,9331,36,1749.5625,14579.69,18500,3920.31,,,,,,
David,Smith,Nissan,F-150,NJ60QVL,,,red,1000,,,40000,48995,56344.25,17148.25,1088.78,,1.15,24-Feb-21,27,9799,36,1837.3125,25109.94,18500,-6609.94,,,,,,
Emily,Anderson,BMW,F-150,XH54DYC,,,red,1000,,,40000,30995,35644.25,10848.25,688.78,,1.15,17-Mar-23,3,22729.66667,36,4261.8125,29316.1,18500,-10816.1,,,,,,
Jessica,Anderson,Audi,Silverado,AP95BYD,,,red,1000,,,40000,21995,25294.25,7698.25,488.78,,1.15,28-Jul-20,34,977.5555556,36,183.2916667,8492.51,18500,10007.49,,,,,,
Jessica,Martinez,Kia,C-Class,TZ47ECG,,,red,1000,,,40000,33995,39094.25,11898.25,755.44,,1.15,8-Sep-20,33,2266.333333,36,424.9375,13739.65,18500,4760.35,,,,,,
Emily,Davis,Toyota,Altima,VR23XFS,,,red,1000,,,40000,39995,45994.25,13998.25,888.78,,1.15,30-Aug-20,33,2666.333333,36,499.9375,16164.65,18500,2335.35,,,,,,
Robert,Johnson,Nissan,F-150,DI98IOA,,,red,1000,,,40000,55995,64394.25,19598.25,1011.02,,1.15,31-Jan-23,4,40751.91667,36,7466,52884.17,,-52884.17,,,,,,
Emily,Jones,BMW,3 Series,XX92WVV,,,red,1000,,,40000,47995,55194.25,16798.25,866.58,,1.15,27-Apr-21,25,16731.59028,36,2199.770833,31330.07,,-31330.07,,,,,,
Jennifer,Johnson,Audi,Optima,TN52DRR,,,red,1000,,,40000,12995,14944.25,4548.25,234.63,,1.15,24-May-21,24,4764.833333,36,649.75,8663.33,,-8663.33,,,,,,
Matthew,Miller,Chevrolet,A4,AW84RZB,,,red,1000,,,40000,43995,50594.25,15398.25,794.35,,1.15,11-Apr-22,14,24075.04167,36,4032.875,35440.42,,-35440.42,,,,,,
Mike,Williams,Toyota,Optima,MX64ZGR,,,red,1000,,,40000,18995,21844.25,6648.25,342.97,,1.15,5-Nov-21,19,8679.659722,36,1345.479167,13982.43,,-13982.43,,,,,,
Robert,Miller,Toyota,Altima,XT11FYU,,,red,1000,,,40000,11995,13794.25,4198.25,216.58,,1.15,16-Nov-22,6,8296.541667,36,1499.375,10995.42,,-10995.42,,,,,,
John,Garcia,Mercedes,3 Series,JV28VLI,,,red,1000,,,40000,19995,22994.25,6998.25,361.02,,1.15,27-Jul-21,22,8053.541667,36,1166.375,13885.42,,-13885.42,,,,,,
Daniel,Williams,Hyundai,3 Series,KO46UPI,,,red,1000,,,40000,22995,26444.25,8048.25,415.19,,1.15,12-Aug-21,22,9261.875,36,1341.375,15968.75,,-15968.75,,,,,,
Matthew,Garcia,Kia,Elantra,PC45SQP,,,red,1000,,,40000,14995,17244.25,5248.25,270.74,,1.15,12-Jul-21,23,5768.909722,36,812.2291667,10204.93,,-10204.93,,,,,,
Emily,Smith,Kia,Optima,ZO14KJL,,,red,1000,,,40000,45995,52894.25,16098.25,830.47,,1.15,6-Aug-20,34,8560.180556,36,383.2916667,24275.14,,-24275.14,,,,,,
John,Smith,Toyota,3 Series,NK12QWK,,,red,1000,,,40000,8995,10344.25,3148.25,162.41,,1.15,9-Jul-20,35,1511.659722,36,37.47916667,4622.43,,-4622.43,,,,,,
Jessica,Jones,Chevrolet,F-150,OT27NVB,,,red,1000,,,40000,12995,14944.25,4548.25,234.63,,1.15,14-Jan-21,29,3591.673611,36,379.0208333,7760.9,,-7760.9,,,,,,
Jennifer,Miller,Kia,Optima,II58EOX,,,red,1000,,,40000,33995,39094.25,11898.25,613.8,,1.15,11-Jan-23,5,24127.00694,36,4391.020833,31634.24,,-31634.24,,,,,,
Mike,Anderson,Hyundai,Optima,HS52WPO,,,red,1000,,,40000,42995,49444.25,15048.25,776.3,,1.15,23-Aug-21,21,18093.72917,36,2687.1875,30454.79,,-30454.79,,,,,,
Emily,Smith,Chevrolet,A4,BL77YND,,,red,1000,,,40000,50995,58644.25,17848.25,920.74,,1.15,12-May-22,13,28826.34028,36,4887.020833,41787.57,,-41787.57,,,,,,
Matthew,Garcia,Chevrolet,Silverado,PO95DRE,,,red,1000,,,40000,49995,57494.25,17498.25,902.69,,1.15,21-Mar-23,2,38190.625,36,7082.625,48606.25,,-48606.25,,,,,,
Sarah,Brown,Audi,3 Series,YM36VDM,,,red,1000,,,40000,31995,36794.25,11198.25,577.69,,1.15,16-Nov-20,30,8265.375,36,799.875,18663.75,,-18663.75,,,,,,
John,Davis,Audi,Elantra,AY78WGV,,,red,1000,,,40000,57995,66694.25,20298.25,1047.13,,1.15,25-Dec-22,5,41160.34028,36,7491.020833,53967.57,,-53967.57,,,,,,
Sarah,Garcia,Chevrolet,3 Series,XZ39FGV,,,red,1000,,,40000,38995,44844.25,13648.25,704.08,,1.15,30-Oct-22,7,26267.46528,36,4711.895833,35203.82,,-35203.82,,,,,,
Daniel,Smith,Mercedes,Altima,OS71BMJ,,,red,1000,,,40000,9995,11494.25,3498.25,277.64,,1.15,15-Aug-20,34,-1443.722222,36,83.29166667,1971.24,,-1971.24,,,,,,
John,Anderson,Audi,3 Series,TI86HJK,,,red,1000,,,40000,35995,41394.25,12598.25,999.86,,1.15,1-Sep-21,21,7798.916667,36,2249.6875,18147.48,,-18147.48,,,,,,
John,Jones,Kia,Accord,XE89VVG,,,red,1000,,,40000,26995,31044.25,9448.25,749.86,,1.15,14-Oct-21,20,6598.777778,36,1799.666667,14247.36,,-14247.36,,,,,,
Mike,Garcia,Toyota,A4,XS49VZI,,,red,1000,,,40000,50995,58644.25,17848.25,1416.53,,1.15,28-Jun-20,35,-8782.472222,36,212.4791667,8853.3,,-8853.3,,,,,,
Mike,Anderson,Honda,3 Series,MA19ODR,,,red,1000,,,40000,7995,9194.25,2798.25,222.08,,1.15,11-May-22,13,3508.916667,36,766.1875,5540.98,,-5540.98,,,,,,
Emily,Williams,Audi,Optima,JP10VEH,,,red,1000,,,40000,6995,8044.25,2448.25,194.31,,1.15,21-Jan-21,28,155.4444444,36,233.1666667,2370.53,,-2370.53,,,,,,
Jessica,Martinez,Toyota,Camry,QE29MMN,,,red,1000,,,40000,20995,24144.25,7348.25,583.19,,1.15,9-Sep-20,33,-2449.416667,36,262.4375,4636.4,,-4636.4,,,,,,
Emily,Miller,Nissan,F-150,RQ79JAM,,,red,1000,,,40000,38995,44844.25,13648.25,1083.19,,1.15,9-Aug-21,22,7365.722222,36,2274.708333,18739.26,,-18739.26,,,,,,
Mike,Williams,Audi,3 Series,WE38KWO,,,red,1000,,,40000,6995,8044.25,2448.25,194.31,,1.15,25-Jan-21,28,155.4444444,36,233.1666667,2370.53,,-2370.53,,,,,,
Daniel,Johnson,Hyundai,Altima,CN28VLC,,,red,1000,,,40000,48995,56344.25,17148.25,1360.97,,1.15,4-Feb-23,4,33752.11111,36,6532.666667,44367.69,,-44367.69,,,,,,
Matthew,Miller,Mercedes,Optima,NF72KOK,,,red,1000,,,40000,35995,41394.25,12598.25,999.86,,1.15,14-Sep-22,9,19797.25,36,4049.4375,28346.06,,-28346.06,,,,,,
Jessica,Brown,Ford,3 Series,VX59XSM,,,red,1000,,,40000,60995,70144.25,21348.25,1694.31,,1.15,21-Aug-21,21,13215.58333,36,3812.1875,30751.65,,-30751.65,,,,,,
Jessica,Anderson,Toyota,Accord,FU17VZT,,,red,1000,,,40000,21995,25294.25,7698.25,610.97,,1.15,9-Aug-22,10,11486.27778,36,2382.791667,16801.74,,-16801.74,,,,,,
Sarah,Miller,Toyota,F-150,WR52RYX,,,red,1000,,,40000,36995,42544.25,12948.25,1027.64,,1.15,17-May-20,36,-7399,36,0,5549.25,,-5549.25,,,,,,
Robert,Williams,Kia,C-Class,BU25LYD,,,red,1000,,,40000,4995,5744.25,1748.25,138.75,,1.15,6-Apr-21,26,388.5,36,208.125,1928.63,,-1928.63,,,,,,
Daniel,Martinez,Ford,A4,DM62GOW,,,red,1000,,,40000,21995,25294.25,7698.25,610.97,,1.15,15-Dec-21,18,6598.5,36,1649.625,12647.13,,-12647.13,,,,,,
Emily,Johnson,Toyota,Camry,YG14JHL,,,red,1000,,,40000,12995,14944.25,4548.25,360.97,,1.15,16-Jan-21,28,288.7777778,36,433.1666667,4403.86,,-4403.86,,,,,,
Daniel,Johnson,Chevrolet,Accord,YX47VMF,,,red,1000,,,40000,24995,28744.25,8748.25,694.31,,1.15,2-Apr-23,2,18607.38889,36,3540.958333,23814.68,,-23814.68,,,,,,
Emily,Johnson,Honda,Altima,BZ10QRB,,,red,1000,,,40000,36995,,,1027.64,,1.15,7-May-21,,,,#DIV/0!,#DIV/0!,,,,,,,,
Jennifer,Williams,Honda,Silverado,OR66KFR,,,red,1000,,,40000,50995,,,1416.53,,1.15,24-Nov-20,,,,#DIV/0!,#DIV/0!,,,,,,,,
Matthew,Martinez,Audi,A4,DT67SHO,,,red,1000,,,40000,26995,,,749.86,,1.15,16-Jan-21,,,,#DIV/0!,#DIV/0!,,,,,,,,
Daniel,Smith,Kia,C-Class,PH80WIO,,,red,1000,,,40000,10995,,,305.42,,1.15,25-Nov-21,,,,#DIV/0!,#DIV/0!,,,,,,,,
Mike,Johnson,Audi,Optima,HR40IWP,,,red,1000,,,40000,4995,,,138.75,,1.15,12-May-22,,,,#DIV/0!,#DIV/0!,,,,,,,,
Jennifer,Anderson,Chevrolet,Optima,PP57FBC,,,red,1000,,,40000,24995,,,694.31,,1.15,20-Mar-21,,,,#DIV/0!,,,,,,,,,
Jessica,Johnson,Chevrolet,Altima,EX19KRR,,,red,1000,,,40000,49995,,,1388.75,,1.15,7-Jan-21,,,,#DIV/0!,,,,,,,,,
Sarah,Jones,Kia,3 Series,PP72GNA,,,red,1000,,,40000,31995,,,888.75,,1.15,31-Jan-22,,,,#DIV/0!,,,,,,,,,
David,Smith,Kia,Accord,CX23YKE,,,red,1000,,,40000,41995,,,1166.53,,1.15,19-May-20,,,,#DIV/0!,,,,,,,,,
Mike,Smith,Toyota,Optima,KZ42RJB,,,red,1000,,,40000,21995,,,610.97,,1.15,6-Jun-22,,,,#DIV/0!,,,,,,,,,
Jennifer,Martinez,Audi,Elantra,FU96CSF,,,red,1000,,,40000,17995,,,499.86,,1.15,1-Jun-21,,,,#DIV/0!,,,,,,,,,
Mike,Brown,Mercedes,3 Series,WV12YFR,,,red,1000,,,40000,35995,,,999.86,,1.15,24-Jun-21,,,,#DIV/0!,,,,,,,,,
Emily,Davis,Mercedes,Camry,UV66CYE,,,red,1000,,,40000,41995,,,1166.53,,1.15,11-Dec-22,,,,#DIV/0!,,,,,,,,,
Mike,Jones,Ford,Camry,AR95XUA,,,red,1000,,,40000,15995,,,444.31,,1.15,25-Nov-20,,,,#DIV/0!,,,,,,,,,
Matthew,Brown,BMW,Silverado,GU54NMZ,,,red,1000,,,40000,4995,,,138.75,,1.15,2-Jul-21,,,,#DIV/0!,,,,,,,,,
John,Miller,Audi,Altima,WG73RMG,,,red,1000,,,40000,25995,,,722.08,,1.15,11-Sep-21,,,,#DIV/0!,,,,,,,,,
Mike,Smith,Honda,Camry,LQ10LGG,,,red,1000,,,40000,23995,,,666.53,,1.15,8-Jul-20,,,,#DIV/0!,,,,,,,,,
John,Smith,Mercedes,Camry,BX58BHB,,,red,1000,,,40000,38995,,,1083.19,,1.15,29-Oct-20,,,,#DIV/0!,,,,,,,,,
Emily,Smith,Hyundai,Altima,IV37KZM,,,red,1000,,,40000,41995,,,1166.53,,1.15,28-Sep-21,,,,,,,,,,,,,
Robert,Brown,Kia,Optima,AZ16SIJ,,,red,1000,,,40000,10995,,,305.42,,1.15,8-Dec-20,,,,,,,,,,,,,
John,Martinez,Hyundai,Optima,CV75TWZ,,,red,1000,,,40000,14995,,,416.53,,1.15,10-Apr-22,,,,,,,,,,,,,
David,Miller,Nissan,Camry,YL66OIZ,,,red,1000,,,40000,39995,,,1110.97,,1.15,27-Feb-23,,,,,,,,,,,,,
Jennifer,Smith,Audi,C-Class,EV78VVT,,,red,1000,,,40000,34995,,,972.08,,1.15,6-Feb-22,,,,,,,,,,,,,
Mike,Miller,Mercedes,3 Series,XJ83FVG,,,red,1000,,,40000,2995,,,83.19,,1.15,29-Jan-21,,,,,,,,,,,,,
Emily,Jones,Honda,Silverado,PD82KIN,,,red,1000,,,40000,45995,,,1277.64,,1.15,14-Mar-23,,,,,,,,,,,,,
David,Johnson,Toyota,Elantra,ZF38RGE,,,red,1000,,,40000,25995,,,722.08,,1.15,19-Mar-23,,,,,,,,,,,,,
Sarah,Martinez,Toyota,Optima,AN52LYB,,,red,1000,,,40000,5995,,,166.53,,1.15,28-Sep-22,,,,,,,,,,,,,
Matthew,Davis,Honda,F-150,UU28FMV,,,red,1000,,,40000,24995,,,694.31,,1.15,26-Oct-20,,,,,,,,,,,,,
Mike,Miller,BMW,Camry,BX54AYD,,,red,1000,,,40000,47995,,,1333.19,,1.15,2-Jun-21,,,,,,,,,,,,,
Emily,Miller,Honda,Camry,DM63QXX,,,red,1000,,,40000,49995,,,1388.75,,1.15,1-May-22,,,,,,,,,,,,,
Sarah,Anderson,Chevrolet,Accord,DJ34HEB,,,red,1000,,,40000,37995,,,1055.42,,1.15,18-Jan-23,,,,,,,,,,,,,
Matthew,Jones,BMW,Accord,SZ53MOD,,,red,1000,,,40000,25995,,,722.08,,1.15,31-Aug-20,,,,,,,,,,,,,
Sarah,Williams,Ford,Altima,NT33SKH,,,red,1000,,,40000,25995,,,722.08,,1.15,8-Jun-22,,,,,,,,,,,,,
Jessica,Jones,Toyota,Accord,JM47FLK,,,red,1000,,,40000,35995,,,999.86,,1.15,9-Jan-21,,,,,,,,,,,,,
Robert,Smith,Kia,Silverado,HX98PAB,,,red,1000,,,40000,9995,,,277.64,,1.15,31-Mar-23,,,,,,,,,,,,,
Robert,Brown,BMW,Altima,RE68SUY,,,red,1000,,,40000,13995,,,388.75,,1.15,24-Apr-20,,,,,,,,,,,,,
Sarah,Williams,Hyundai,F-150,DM77AXZ,,,red,1000,,,40000,7995,,,222.08,,1.15,3-Jun-20,,,,,,,,,,,,,
David,Williams,Chevrolet,Camry,JX13QNM,,,red,1000,,,40000,43995,,,1222.08,,1.15,16-Sep-22,,,,,,,,,,,,,
Matthew,Brown,BMW,Camry,GR90QUH,,,red,1000,,,40000,55995,,,1555.42,,1.15,4-Oct-20,,,,,,,,,,,,,
David,Anderson,Chevrolet,C-Class,PI22TIE,,,red,1000,,,40000,28995,,,805.42,,1.15,6-May-21,,,,,,,,,,,,,
Mike,Anderson,Mercedes,Altima,HA33ORB,,,red,1000,,,40000,21995,,,610.97,,1.15,16-Nov-21,,,,,,,,,,,,,
John,Martinez,Kia,Optima,QQ67WFJ,,,red,1000,,,40000,5995,,,166.53,,1.15,6-Feb-21,,,,,,,,,,,,,
Jennifer,Anderson,Audi,C-Class,GO47PST,,,red,1000,,,40000,8995,,,249.86,,1.15,1-Nov-21,,,,,,,,,,,,,
Daniel,Williams,BMW,F-150,PN99DSY,,,red,1000,,,40000,50995,,,1416.53,,1.15,07/27/2021,,,,,,,,,,,,,
Sarah,Anderson,Audi,C-Class,JI66HTT,,,red,1000,,,40000,45995,,,1277.64,,1.15,7-Aug-20,,,,,,,,,,,,,
David,Williams,Honda,Accord,XA25SBA,,,red,1000,,,40000,23995,,,666.53,,1.15,04/21/2021,,,,,,,,,,,,,
Robert,Brown,Chevrolet,3 Series,ZP58DGK,,,red,1000,,,40000,7995,,,222.08,,1.15,11/30/2021,,,,,,,,,,,,,
